2272081583865085333	[6,11144]	[1,1]
2272085281097140941	[6,11142,11144,15276,15932,15954]	[52,20,32,20,20,17]
2272121168712284874	[6,19,10740,10742,10765,10816,11144,15276,15922,15928,15932,15958,15973,16470,16471]	[33,12,6,12,12,6,33,10,6,3,1,6,6,6,6]
2272310025986543422	[15276,15958,15971,15975,16440,16441]	[29,29,2,2,2,2]
2272339816204805527	[2,6,19,10742,10767,10900,11144]	[1,6,1,1,1,1,6]
2272350574824310734	[5,6,7,10519,10527,10634,11142,11146,11176,15276,15912,15932,15935,15953,15954,15958,15959,15960]	[7,4,1,1,1,7,2,2,7,41,16,4,2,1,2,12,10,10]
2272381886797082576	[1,10276,15276,15958]	[1,1,1,1]
2272463432732105394	[6,13,11144,15276,15932,15957]	[15,1,15,1,1,1]
2272578265441449684	[2,6,10902,10910,11144,15276,15956]	[1,24,1,1,24,1,1]
2272707234102060257	[1,7,12,10276,10519,10527,15276,15929,15937,15941,15958,15963,15967,15975,15998,16010,16441,16442,16443]	[6,2,3,4,2,2,65,6,13,3,48,14,4,15,4,3,7,14,5]
2272871908446044967	[6,9,13,19,10603,10740,10816,11050,11051,11108,11144,15276,15922,15932,15952,15957,15973]	[17,2,4,1,2,1,1,2,2,2,17,6,1,4,1,4,1]
2273039006391116976	[9,11047,11110]	[1,1,1]
2273207081012376843	[6,11142,11144,15276,15932,15954,15971,15987]	[78,32,46,33,31,32,1,1]
2273245486247121986	[6,9,19,10740,10816,11047,11110,11144,15276,15932,15958]	[8,2,14,14,14,2,2,8,2,1,1]
2273337601901651983	[2,6,19,10740,10742,10743,10744,10747,10749,10767,10813,10900,10901,10904,10908,11076,11144,11150,15276,15922,15930,15944,15970]	[42,2,4,2,2,1,1,1,1,2,2,42,3,2,1,2,2,2,13,2,2,2,13]
2273403289721764709	[6,19,10740,10816,11146,15276,15922,15931,15932,15935,15958,15973]	[8,1,1,1,8,10,1,1,8,8,1,1]
2273427894630100745	[1,6,13,19,10272,10276,10278,10279,10281,10298,10740,10816,11101,11104,11146,15276,15911,15922,15928,15929,15931,15932,15935,15947,15957,15958,15959,15960,15967,15973,15998,16444]	[22,4,1,1,1,2,20,5,1,20,1,1,1,1,4,50,1,1,2,22,1,5,4,1,1,2,18,8,7,1,2,1]
2273495681669022844	[15276,15912,15953]	[6,6,1]
2273550429039661602	[6,8,16,19,10740,10816,11076,11144,11146,11155,15276,15932,15935,15936,15973,15977]	[43,2,1,1,1,1,1,42,1,1,5,1,1,2,1,1]
2273670726235354836	[6,11144]	[4,4]
